MUNICIPIO,SECCION,TIPO
BALANCAN,1,MIXTO
BALANCAN,2,MIXTO
BALANCAN,3,URBANO
BALANCAN,4,URBANO
BALANCAN,5,MIXTO
BALANCAN,6,MIXTO
BALANCAN,7,MIXTO
BALANCAN,8,RURAL
BALANCAN,9,RURAL
BALANCAN,10,RURAL
BALANCAN,11,RURAL
BALANCAN,12,RURAL
BALANCAN,13,MIXTO
BALANCAN,14,URBANO
BALANCAN,15,URBANO
BALANCAN,16,URBANO
BALANCAN,17,MIXTO
BALANCAN,18,RURAL
BALANCAN,19,RURAL
BALANCAN,20,RURAL
BALANCAN,21,RURAL
BALANCAN,22,RURAL
BALANCAN,23,RURAL
BALANCAN,24,MIXTO
BALANCAN,25,RURAL
BALANCAN,27,MIXTO
BALANCAN,28,MIXTO
BALANCAN,29,RURAL
BALANCAN,30,RURAL
BALANCAN,31,RURAL
BALANCAN,32,RURAL
BALANCAN,33,RURAL
BALANCAN,34,RURAL
BALANCAN,35,RURAL
BALANCAN,36,RURAL
BALANCAN,37,RURAL
BALANCAN,38,RURAL
BALANCAN,39,RURAL
BALANCAN,40,RURAL
BALANCAN,41,RURAL
BALANCAN,42,RURAL
BALANCAN,43,RURAL
BALANCAN,44,RURAL
BALANCAN,45,RURAL
EMILIANO ZAPATA,668,URBANO
EMILIANO ZAPATA,669,URBANO
EMILIANO ZAPATA,670,URBANO
EMILIANO ZAPATA,671,URBANO
EMILIANO ZAPATA,672,URBANO
EMILIANO ZAPATA,673,URBANO
EMILIANO ZAPATA,674,MIXTO
EMILIANO ZAPATA,675,URBANO
EMILIANO ZAPATA,676,URBANO
EMILIANO ZAPATA,677,URBANO
EMILIANO ZAPATA,678,MIXTO
EMILIANO ZAPATA,679,RURAL
EMILIANO ZAPATA,680,RURAL
EMILIANO ZAPATA,681,RURAL
EMILIANO ZAPATA,682,RURAL
EMILIANO ZAPATA,683,RURAL
JONUTA,846,URBANO
JONUTA,847,URBANO
JONUTA,848,URBANO
JONUTA,849,URBANO
JONUTA,850,RURAL
JONUTA,851,RURAL
JONUTA,852,RURAL
JONUTA,853,RURAL
JONUTA,854,RURAL
JONUTA,855,RURAL
JONUTA,856,RURAL
JONUTA,857,RURAL
JONUTA,858,RURAL
JONUTA,859,RURAL
JONUTA,860,RURAL
JONUTA,861,RURAL
JONUTA,862,RURAL
JONUTA,863,RURAL
JONUTA,864,RURAL
JONUTA,865,RURAL
JONUTA,866,RURAL
JONUTA,867,RURAL
JONUTA,868,RURAL
JONUTA,869,RURAL
JONUTA,870,RURAL
JONUTA,871,RURAL
MACUSPANA,872,URBANO
MACUSPANA,873,URBANO
MACUSPANA,874,URBANO
MACUSPANA,875,URBANO
MACUSPANA,876,URBANO
MACUSPANA,877,URBANO
MACUSPANA,878,URBANO
MACUSPANA,879,URBANO
MACUSPANA,880,URBANO
MACUSPANA,881,URBANO
MACUSPANA,882,URBANO
